itag,logFC,logCPM,PValue,FDR,chromosome,begin,end,Human.readable.description,Subject.ID,Description,Score,E.Value,Identities
Solyc06g005400.1.1,-0.953060407,4.624364648,5.57E-06,0.000648217,SL2.40ch06,412051,412200,Unknown Protein (AHRD V1),.,No significant hit found,.,.,.
Solyc02g061990.2.1,1.311755369,4.391854516,6.46E-06,0.000746419,SL2.40ch02,28138445,28139794,Basic leucine zipper transcription factor (AHRD V1 **-* Q9FQ01_9ROSI),AT4G35900.1 ,"FD, FD-1, atbzip14 | FD; DNA binding / protein binding / transcription activator/ transcription factor | chr4:17004746-17005614 FORWARD", 68.6 bits (166),2.00E-12, 61/179 (34%)
Solyc09g056370.1.1,-0.846398146,8.824640218,6.54E-06,0.000750769,SL2.40ch09,44487086,44487535,ORF124 (AHRD V1 *-*- A4QMB9_PINKO),.,No significant hit found,.,.,.
Solyc09g011770.2.1,0.498045416,6.792890025,6.61E-06,0.00075415,SL2.40ch09,5061936,5065593,"Zinc finger family protein (Fragment) (AHRD V1 *-*- D7M766_ARALY); contains Interpro domain(s)  IPR011016  Zinc finger, RING-CH-type ",AT5G05830.1 ,zinc finger (C3HC4-type RING finger) family protein | chr5:1755910-1756825 FORWARD, 186 bits (471),1.00E-47, 89/163 (54%)
Solyc07g043490.1.1,-0.544499542,7.374959687,8.93E-06,0.001003279,SL2.40ch07,54641400,54642851,UDP-glucosyltransferase family 1 protein (AHRD V1 **-* C6KI43_CITSI); contains Interpro domain(s)  IPR002213  UDP-glucuronosyl/UDP-glucosyltransferase ,AT2G15490.1 ,"UGT73B4 | UGT73B4 (UDP-GLYCOSYLTRANSFERASE 73B4); UDP-glucosyltransferase/ UDP-glycosyltransferase/ quercetin 3-O-glucosyltransferase/ quercetin 7-O-glucosyltransferase/ transferase, transferring glycosyl groups | chr2:6761750-6763398 FORWARD", 335 bits (859),4.00E-92, 181/493 (36%)
Solyc02g065490.2.1,-1.821235477,1.671557049,8.95E-06,0.001003279,SL2.40ch02,31220335,31228256,BEL1-like homeodomain protein 4 (AHRD V1 **-- BLH4_ARATH); contains Interpro domain(s)  IPR006563  POX ,AT2G23760.3 ,"BLH4, SAW2 | BLH4 (BEL1-LIKE HOMEODOMAIN 4); DNA binding / transcription factor | chr2:10107951-10112736 REVERSE", 398 bits (1022), e-111, 218/388 (56%)
Solyc10g080160.1.1,-0.497683099,6.906992035,8.97E-06,0.001003279,SL2.40ch10,60857981,60862695,30S ribosomal protein S9-like (AHRD V1 *-*- Q9SMU5_ARATH); contains Interpro domain(s)  IPR013705  Sterol methyltransferase C-terminal ,AT3G49080.1 ,ribosomal protein S9 family protein | chr3:18194500-18196657 REVERSE, 365 bits (937), e-101, 214/441 (48%)
Solyc06g069400.2.1,-0.83149502,4.834507949,9.13E-06,0.001014696,SL2.40ch06,39550930,39555145,"N(4)-(Beta-N-acetylglucosaminyl)-L-asparaginase (AHRD V1 *-** ASPG_ELIMR); contains Interpro domain(s)  IPR000246  Peptidase T2, asparaginase 2 ",AT5G08100.1 ,L-asparaginase / L-asparagine amidohydrolase | chr5:2593242-2594586 REVERSE, 474 bits (1221), e-134, 237/311 (76%)
Solyc12g007310.1.1,-0.757373657,4.428517756,9.22E-06,0.001017535,SL2.40ch12,1701339,1705392,Lactoylglutathione lyase (AHRD V1 **** B6SSK1_MAIZE); contains Interpro domain(s)  IPR004361  Glyoxalase I ,AT1G67280.1 ,"lactoylglutathione lyase, putative / glyoxalase I, putative | chr1:25188563-25190547 REVERSE", 591 bits (1524), e-169, 290/362 (80%)
Solyc08g006150.2.1,0.522099774,7.734272951,9.61E-06,0.001050888,SL2.40ch08,876173,878158,ChaC cation transport regulator-like 1 (AHRD V1 ***- A8KBI8_DANRE); contains Interpro domain(s)  IPR006840  ChaC-like protein ,AT5G26220.1 ,ChaC-like family protein | chr5:9163178-9164613 REVERSE, 344 bits (882),3.00E-95, 160/208 (76%)
Solyc01g107340.2.1,0.541986079,6.989391733,9.67E-06,0.001050888,SL2.40ch01,86662749,86664903,Unknown Protein (AHRD V1),.,No significant hit found,.,.,.
Solyc05g052470.2.1,0.573011559,6.252449058,9.70E-06,0.001050888,SL2.40ch05,61831795,61835156,"Ferritin (AHRD V1 ***- A7UGG8_SOLTU); contains Interpro domain(s)  IPR001519  Ferritin, N-terminal ",AT3G11050.1 ,ATFER2 | ATFER2 (ferritin 2); binding / ferric iron binding / oxidoreductase/ transition metal ion binding | chr3:3463651-3465294 FORWARD, 360 bits (923), e-100, 178/253 (70%)
Solyc03g119310.2.1,0.612826739,6.049696659,1.00E-05,0.001076191,SL2.40ch03,62011992,62013659,Unknown Protein (AHRD V1),.,No significant hit found,.,.,.
Solyc08g083240.2.1,-0.696946836,7.827294036,1.06E-05,0.001132973,SL2.40ch08,62923263,62925544,Calmodulin-binding protein family-like (AHRD V1 **-* Q6YXT2_ORYSJ); contains Interpro domain(s)  IPR000048  IQ calmodulin-binding region ,AT1G01110.2 ,IQD18 | IQD18 (IQ-domain 18) | chr1:52239-54494 FORWARD, 372 bits (955), e-103, 258/555 (46%)
Solyc01g104880.2.1,1.920055192,2.237543739,1.07E-05,0.001132973,SL2.40ch01,84952632,84968242,Phosphatidylserine decarboxylase proenzyme 2 (AHRD V1 **** D3AWK7_POLPA); contains Interpro domain(s)  IPR005221  Phosphatidylserine decarboxylase ,AT5G57190.1 ,PSD2 | PSD2 (phosphatidylserine decarboxylase 2); phosphatidylserine decarboxylase | chr5:23171531-23175364 REVERSE, 932 bits (2410),0, 453/636 (71%)
Solyc09g005660.2.1,1.109103276,4.284346211,1.11E-05,0.001172155,SL2.40ch09,447193,451309,HAT family dimerisation domain containing protein expressed (AHRD V1 ***- Q10BC8_ORYSJ); contains Interpro domain(s)  IPR007021  Protein of unknown function DUF659 ,AT3G13020.1 ,hAT dimerisation domain-containing protein | chr3:4166995-4168917 REVERSE, 479 bits (1233), e-135, 260/623 (41%)
Solyc06g069770.2.1,-0.549897917,6.370991113,1.13E-05,0.001183376,SL2.40ch06,39839918,39842331,DNA-directed RNA polymerase (AHRD V1 *--- B9GKP9_POPTR),AT5G62440.1 ,Encodes a protein DOMINO1 that belongs to a plant-specific gene family sharing a common motif present in the tomato DEFECTIVE CHLOROPLASTS AND LEAVES (LeDCL) protein.  DOMINO1 is located in the nucleus. Arabidopsis embryos carrying the domino1 mutation grow slowly in comparison with wild type embryos and reach only the globular stage at desiccation. The primary defect of the mutation at the cellular level is the large size of the nucleolus that can be observed soon after fertilization in the nuclei of both the embryo and the endosperm.  DOMINO1 might have a role in ribosome biogenesis and in determining the rate of cell division. | chr5:25072620-25073917 REVERSE, 167 bits (423),5.00E-42, 71/115 (61%)
Solyc10g008930.1.1,2.670572626,1.034132367,1.13E-05,0.001183491,SL2.40ch10,2950728,2951111,"Glutaredoxin (AHRD V1 ***- B9H2P7_POPTR); contains Interpro domain(s)  IPR011905  Glutaredoxin-like, plant II ",AT1G28480.1 ,GRX480 | GRX480; electron carrier/ protein disulfide oxidoreductase | chr1:10013634-10014047 REVERSE, 136 bits (342),3.00E-33, 68/104 (65%)
Solyc11g044350.1.1,-0.755571968,4.812508514,1.26E-05,0.001306396,SL2.40ch11,35477781,35484652,WW domain containing adaptor with coiled-coil (AHRD V1 *-*- Q5U4Q0_XENTR); contains Interpro domain(s)  IPR001202  WW/Rsp5/WWP ,AT3G19670.1 ,protein binding | chr3:6828242-6836582 REVERSE, 87.8 bits (216),5.00E-18, 78/265 (29%)
Solyc01g079950.2.1,1.211694508,3.403560541,1.34E-05,0.001376965,SL2.40ch01,71609788,71611611,Xylanase inhibitor (Fragment) (AHRD V1 **-- Q53IQ3_WHEAT); contains Interpro domain(s)  IPR001461  Peptidase A1 ,AT1G03220.1 ,"extracellular dermal glycoprotein, putative / EDGP, putative | chr1:787143-788444 FORWARD", 310 bits (795),8.00E-85, 177/414 (42%)
Solyc02g077920.2.1,-0.749909765,4.803941705,1.39E-05,0.001426803,SL2.40ch02,37320931,37323107,"Squamosa promoter binding-like protein (AHRD V1 ***- Q0PY35_SOLLC); contains Interpro domain(s)  IPR004333  Transcription factor, SBP-box ",AT2G33810.1 ,SPL3 | SPL3 (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE 3); DNA binding / transcription factor | chr2:14305342-14305828 FORWARD, 138 bits (348),9.00E-34, 74/129 (57%)
Solyc10g055250.1.1,2.500013329,1.637273566,1.43E-05,0.001456898,SL2.40ch10,51991131,51991640,"Cold shock protein-1 (AHRD V1 *-*- Q8LPA7_WHEAT); contains Interpro domain(s)  IPR002059  Cold-shock protein, DNA-binding ",AT2G21060.1 ,ATGRP2B | ATGRP2B (GLYCINE-RICH PROTEIN 2B); DNA binding / nucleic acid binding / zinc ion binding | chr2:9036983-9037588 REVERSE, 144 bits (362),4.00E-35, 103/186 (55%)
Solyc09g066010.2.1,0.919912552,5.249428784,1.44E-05,0.001460458,SL2.40ch09,59882612,59884663,WRKY transcription factor 25 (AHRD V1 ***- C9DI14_9ROSI); contains Interpro domain(s)  IPR003657  DNA-binding WRKY ,AT2G30590.1 ,WRKY21 | WRKY21; calmodulin binding / transcription factor | chr2:13033891-13035303 FORWARD, 346 bits (888),1.00E-95, 203/385 (52%)
Solyc11g072600.1.1,-0.863606557,6.339203351,1.45E-05,0.001460458,SL2.40ch11,52857365,52860247,"AP2-like ethylene-responsive transcription factor At1g79700 (AHRD V1 *--- AP2L3_ARATH); contains Interpro domain(s)  IPR001471  Pathogenesis-related transcriptional factor and ERF, DNA-binding ",AT2G28550.1 ,"RAP2.7, TOE1 | RAP2.7 (RELATED TO AP2.7); DNA binding / transcription factor | chr2:12226168-12228251 REVERSE", 333 bits (854),1.00E-91, 238/463 (51%)
Solyc04g076630.2.1,-1.435445191,2.562879781,1.55E-05,0.001554893,SL2.40ch04,59122018,59128055,Rhamnogalacturonate lyase (AHRD V1 **** A3XLZ2_LEEBM); contains Interpro domain(s)  IPR010325  Rhamnogalacturonate lyase ,AT1G09890.1 ,lyase | chr1:3214237-3217386 REVERSE, 827 bits (2136),0, 398/619 (64%)
Solyc01g099210.2.1,1.543888025,2.940471439,1.66E-05,0.001648845,SL2.40ch01,81269872,81273647,"Lipoxygenase (AHRD V1 **** Q0ZDG1_ACTDE); contains Interpro domain(s)  IPR001246  Lipoxygenase, plant ",AT1G55020.1 ,LOX1 | LOX1; lipoxygenase | chr1:20525798-20530143 FORWARD, 1130 bits (2924),0, 539/846 (63%)
Solyc10g006330.2.1,-0.750747367,4.908958836,1.67E-05,0.001648845,SL2.40ch10,965024,971538,Unknown Protein (AHRD V1),AT1G42550.1 ,PMI1 | PMI1 (PLASTID MOVEMENT IMPAIRED1) | chr1:15977131-15979734 FORWARD, 820 bits (2117),0, 466/904 (51%)
Solyc04g080710.2.1,-0.684288596,4.866194561,1.69E-05,0.00165872,SL2.40ch04,62391119,62395685,BHLH transcription factor-like protein (AHRD V1 *-*- Q5ZAK6_ORYSJ); contains Interpro domain(s)  IPR011598  Helix-loop-helix DNA-binding ,AT1G27660.1 ,ethylene-responsive protein -related | chr1:9621701-9625666 FORWARD, 207 bits (527),1.00E-53, 168/435 (38%)
Solyc04g026110.2.1,-0.622024977,6.313700272,1.70E-05,0.001660219,SL2.40ch04,24629880,24631775,"Cc-nbs, resistance protein fragment",AT3G46530.1 ,RPP13 | RPP13 (RECOGNITION OF PERONOSPORA PARASITICA 13); ATP binding | chr3:17130739-17133246 REVERSE, 278 bits (711),5.00E-75, 190/503 (37%)
Solyc02g077560.2.1,0.344515312,7.845542906,1.73E-05,0.001677396,SL2.40ch02,37038134,37044666,Auxin response factor 3 (AHRD V1 **** Q2LAJ4_SOLLC); contains Interpro domain(s)  IPR010525  Auxin response factor ,AT2G33860.1 ,"ETT, ARF3 | ETT (ETTIN); DNA binding / transcription factor | chr2:14325444-14328613 REVERSE", 553 bits (1425), e-157, 289/534 (54%)
Solyc12g096770.1.1,-1.204304967,3.113787735,1.73E-05,0.001677396,SL2.40ch12,63889035,63890360,Hydroxycinnamoyl CoA quinate transferase (AHRD V1 **-- D6BK25_CYNSC); contains Interpro domain(s)  IPR003480  Transferase ,AT3G26040.1 ,transferase family protein | chr3:9519741-9521069 FORWARD, 197 bits (500),2.00E-50, 134/439 (30%)
Solyc09g018280.1.1,0.770028989,5.304154555,1.76E-05,0.001694944,SL2.40ch09,14009433,14010764,Calcium/calmodulin-dependent protein kinase type 1 (AHRD V1 *-** KCC1A_MOUSE); contains Interpro domain(s)  IPR002290  Serine/threonine protein kinase ,AT5G01820.1 ,"ATSR1, SnRK3.15, CIPK14, ATCIPK14 | ATSR1 (ARABIDOPSIS THALIANA SERINE/THREONINE PROTEIN KINASE 1); ATP binding / kinase/ protein kinase/ protein serine/threonine kinase | chr5:313423-314751 REVERSE", 500 bits (1288), e-142, 263/425 (61%)
Solyc12g010340.1.1,0.635709619,4.926677571,1.91E-05,0.001826166,SL2.40ch12,3407156,3407488,Pre-mRNA-splicing factor ini1 (AHRD V1 **-- B9T1J2_RICCO); contains Interpro domain(s)  IPR005345  PHF5-like ,AT2G30000.1 ,LOCATED IN: cellular_component unknown; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: PHF5-like (InterPro:IPR005345); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G07170.2); Has 292 Blast hits to 292 proteins in 142 species: Archae - 0; Bacteria - 0; Metazoa - 110; Fungi - 75; Plants - 47; Viruses - 0; Other Eukaryotes - 60 (source: NCBI BLink). | chr2:12804042-12804374 REVERSE, 223 bits (567),2.00E-59, 109/110 (99%)
Solyc01g098760.2.1,-0.311634508,8.084030558,1.95E-05,0.001858631,SL2.40ch01,80961419,80963453,Heavy metal-associated domain containing protein expressed (AHRD V1 *--- Q2RAL3_ORYSJ); contains Interpro domain(s)  IPR006121  Heavy metal transport/detoxification protein ,AT5G19090.1 ,heavy-metal-associated domain-containing protein | chr5:6387910-6389855 FORWARD, 141 bits (355),1.00E-33, 70/101 (69%)
Solyc11g050770.1.1,-0.700962158,5.026464628,1.97E-05,0.001861278,SL2.40ch11,41130598,41130843,Photosystem II reaction center protein Z (AHRD V1 ***- Q5IHA1_9SOLN); contains Interpro domain(s)  IPR002644  Photosystem II protein PsbZ ,ATCG00300.1 ,"YCF9 | encodes PsbZ, which is a subunit of photosystem II. In Chlamydomonas, this protein has been shown to be essential in the interaction between PS II and the light harvesting complex II. | chrC:35751-35939 FORWARD", 105 bits (263),4.00E-24, 56/62 (90%)
Solyc03g113720.2.1,0.775208206,7.337912349,2.26E-05,0.00212784,SL2.40ch03,57836552,57838432,"Two-component response regulator ARR3 (AHRD V1 **** B6TSM4_MAIZE); contains Interpro domain(s)  IPR001789  Signal transduction response regulator, receiver region ",AT5G62920.1 ,ARR6 | ARR6 (RESPONSE REGULATOR 6); transcription regulator/ two-component response regulator | chr5:25252745-25254158 REVERSE, 217 bits (552),4.00E-57, 105/132 (79%)
Solyc02g091310.1.1,1.771401046,2.707790208,2.28E-05,0.002134877,SL2.40ch02,47219154,47220517,Copper chaperone (AHRD V1 *--- B6TJ24_MAIZE); contains Interpro domain(s)  IPR006121  Heavy metal transport/detoxification protein ,AT1G23000.1 ,heavy-metal-associated domain-containing protein | chr1:8143614-8144865 FORWARD, 105 bits (262),4.00E-23, 51/80 (63%)
Solyc10g051390.1.1,-0.616947049,6.837485036,2.34E-05,0.002162134,SL2.40ch10,47556796,47557568,"RNA-binding glycine-rich protein-1b (AHRD V1 **** Q40427_NICSY); contains Interpro domain(s)  IPR015465  RNA recognition motif, glycine rich protein ",AT4G39260.3 ,"CCR1, ATGRP8, GRP8 | GR-RBP8; RNA binding / nucleic acid binding / nucleotide binding | chr4:18274166-18274958 REVERSE", 146 bits (368),3.00E-36, 70/90 (77%)
Solyc06g005810.2.1,1.015633042,3.46188134,2.36E-05,0.002162134,SL2.40ch06,839934,842843,Ras-related protein Rab-25 (AHRD V1 ***- RAB25_MOUSE); contains Interpro domain(s)  IPR015595  Rab11-related ,AT1G07410.1 ,"ATRABA2B, RAB-A2B, ATRAB-A2B | ATRABA2B (ARABIDOPSIS RAB GTPASE HOMOLOG A2B); GTP binding / GTPase/ protein binding | chr1:2276270-2277154 FORWARD", 390 bits (1003), e-109, 187/216 (86%)
Solyc02g021250.1.1,2.041024619,1.463208998,2.37E-05,0.002162134,SL2.40ch02,13019356,13020015,Unknown Protein (AHRD V1),.,No significant hit found,.,.,.
Solyc04g051540.2.1,1.213145667,4.265242396,2.37E-05,0.002162134,SL2.40ch04,49935987,49940182,WRKY family transcription factor (AHRD V1 *-*- D7LBR5_ARALY); contains Interpro domain(s)  IPR003657  DNA-binding WRKY ,AT4G39410.1 ,"WRKY13, ATWRKY13 | WRKY13; transcription factor | chr4:18332937-18334789 REVERSE", 184 bits (468),3.00E-47, 92/124 (74%)
Solyc09g015840.2.1,-0.517847761,6.277697254,2.37E-05,0.002162134,SL2.40ch09,11276662,11277446,Receptor-like kinase (AHRD V1 ***- C6ZRN8_SOYBN),AT3G51550.1 ,FER | FER (FERONIA); kinase/ protein kinase | chr3:19117877-19120564 REVERSE, 166 bits (419),9.00E-42, 86/145 (59%)
Solyc06g067890.2.1,-0.644384755,5.800209171,2.40E-05,0.002177203,SL2.40ch06,38469559,38475823,Hydrolase alpha/beta fold family protein (AHRD V1 **** D7KX74_ARALY); contains Interpro domain(s)  IPR000073  Alpha/beta hydrolase fold-1 ,AT1G80280.1 ,"hydrolase, alpha/beta fold family protein | chr1:30183839-30186141 REVERSE", 802 bits (2071),0, 423/649 (65%)
Solyc08g078890.1.1,1.988174454,2.489537624,2.44E-05,0.002201887,SL2.40ch08,59737899,59738777,"At2g10940-like protein (Fragment) (AHRD V1 *-*- B3SKI0_ARAHA); contains Interpro domain(s)  IPR013770  Plant lipid transfer protein and hydrophobic protein, helical ",AT1G62500.1 ,protease inhibitor/seed storage/lipid transfer protein (LTP) family protein | chr1:23132181-23133074 FORWARD, 158 bits (400),3.00E-39, 96/162 (59%)
Solyc08g074630.1.1,-0.379755081,10.19856394,2.53E-05,0.00226991,SL2.40ch08,55921673,55923436,"Polyphenol oxidase (AHRD V1 ***- Q41428_SOLTU); contains Interpro domain(s)  IPR016213  Polyphenol oxidase, plant ",.,No significant hit found,.,.,.
Solyc01g081640.2.1,0.658187032,5.89884871,2.61E-05,0.002332329,SL2.40ch01,73342271,73346170,"Legume lectin beta domain (AHRD V1 ***- A2Q3C0_MEDTR); contains Interpro domain(s)  IPR010341  Protein of unknown function DUF936, plant ",AT2G31920.1 ,unknown protein | chr2:13574053-13576367 REVERSE, 327 bits (839),1.00E-89, 231/643 (35%)
Solyc02g067320.1.1,-0.878381394,3.635881263,2.74E-05,0.002433814,SL2.40ch02,32098473,32099468,Zinc finger-homeodomain protein 1 (Fragment) (AHRD V1 **-- B0LK19_CUCSA); contains Interpro domain(s)  IPR006456  ZF-HD homeobox protein Cys/His-rich dimerisation region ,AT5G15210.1 ,"ATHB30, ZFHD3 | ATHB30 (ARABIDOPSIS THALIANA HOMEOBOX PROTEIN 30); DNA binding / transcription factor | chr5:4937874-4938689 REVERSE", 219 bits (558),2.00E-57, 129/261 (49%)
Solyc06g007780.2.1,0.82094181,7.079934236,2.90E-05,0.002558656,SL2.40ch06,1728885,1733953,"Ras GTPase-activating protein-binding protein 2 (AHRD V1 *--- B5X4A8_SALSA); contains Interpro domain(s)  IPR018222  Nuclear transport factor 2, Eukaryote ",AT3G25150.1 ,nuclear transport factor 2 (NTF2) family protein / RNA recognition motif (RRM)-containing protein | chr3:9157161-9159362 REVERSE, 319 bits (818),2.00E-87, 184/393 (46%)
Solyc09g007920.2.1,0.883418634,4.316487332,2.92E-05,0.002566868,SL2.40ch09,1435451,1440492,Phenylalanine ammonia-lyase (AHRD V1 **** B5LAW0_CAPAN); contains Interpro domain(s)  IPR005922  Phenylalanine ammonia-lyase ,AT2G37040.1 ,"pal1, ATPAL1 | pal1 (Phe ammonia lyase 1); phenylalanine ammonia-lyase | chr2:15557602-15560237 REVERSE", 1244 bits (3219),0, 581/699 (83%)
Solyc04g080960.2.1,0.436138583,7.381937303,2.96E-05,0.002591708,SL2.40ch04,62610006,62612431,"Cysteine proteinase cathepsin F (AHRD V1 **-* D3TN89_GLOMM); contains Interpro domain(s)  IPR013128  Peptidase C1A, papain ",AT4G39090.1 ,"RD19, RD19A | RD19 (RESPONSIVE TO DEHYDRATION 19); cysteine-type endopeptidase/ cysteine-type peptidase | chr4:18215826-18217326 REVERSE", 511 bits (1315), e-145, 250/367 (68%)
Solyc01g089910.2.1,1.432482305,2.570591407,3.09E-05,0.002686656,SL2.40ch01,75383651,75385711,Flotillin domain protein (AHRD V1 ***- B8M1F1_TALSN); contains Interpro domain(s)  IPR001107  Band 7 protein ,AT5G25260.1 ,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: plasma membrane; EXPRESSED IN: cultured cell; CONTAINS InterPro DOMAIN/s: Band 7 protein (InterPro:IPR001107); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G25250.1); Has 4214 Blast hits to 3442 proteins in 652 species: Archae - 14; Bacteria - 1365; Metazoa - 1204; Fungi - 198; Plants - 130; Viruses - 8; Other Eukaryotes - 1295 (source: NCBI BLink). | chr5:8752751-8754282 FORWARD, 640 bits (1651),0, 314/477 (65%)
Solyc09g074940.1.1,-0.470328905,7.310787264,3.13E-05,0.002710425,SL2.40ch09,62229782,62233993,"Translocase of chloroplast 90, chloroplastic (AHRD V1 *-*- TOC90_ARATH); contains Interpro domain(s)  IPR005690  Chloroplast protein import component Toc86/159 ",AT4G02510.1 ,"TOC159, TOC86, PPI2, TOC160, ATTOC159 | TOC159 (TRANSLOCON AT THE OUTER ENVELOPE MEMBRANE OF CHLOROPLASTS 159); transmembrane receptor | chr4:1104766-1109360 FORWARD", 1244 bits (3220),0, 606/866 (69%)
Solyc01g111940.2.1,-0.490288429,7.532741571,3.22E-05,0.002773945,SL2.40ch01,89857764,89861925,Coiled-coil domain-containing protein 124 (AHRD V1 *-*- CC124_XENTR); contains Interpro domain(s)  IPR010422  Protein of unknown function DUF1014 ,AT1G16210.1 ,unknown protein | chr1:5546352-5547447 REVERSE, 316 bits (809),9.00E-87, 169/226 (74%)
Solyc07g007930.2.1,-0.569672936,5.34329876,3.24E-05,0.002773945,SL2.40ch07,2591006,2595679,Alkaline alpha galactosidase 2 (AHRD V1 **-- Q575Z7_MAIZE); contains Interpro domain(s)  IPR008811  Raffinose synthase ,AT5G20250.3 ,"DIN10 | DIN10 (DARK INDUCIBLE 10); hydrolase, hydrolyzing O-glycosyl compounds | chr5:6834207-6836635 FORWARD", 1128 bits (2917),0, 534/784 (68%)
Solyc03g043620.1.1,-0.790215487,7.14904592,3.33E-05,0.002843221,SL2.40ch03,11072232,11072573,Unknown Protein (AHRD V1),.,No significant hit found,.,.,.
Solyc01g080770.2.1,-0.648684628,6.107773637,3.45E-05,0.002925293,SL2.40ch01,72507024,72510368,"Receptor like kinase, RLK",AT4G20270.1 ,BAM3 | BAM3 (BARELY ANY MERISTEM 3); ATP binding / protein binding / protein kinase/ protein serine/threonine kinase | chr4:10949822-10952924 FORWARD, 1181 bits (3054),0, 613/989 (61%)
Solyc03g007700.1.1,1.692670236,2.053590719,3.48E-05,0.002937097,SL2.40ch03,2229811,2230734,Unknown Protein (AHRD V1),AT1G64080.1 ,unknown protein | chr1:23785230-23786557 REVERSE, 82.8 bits (203),2.00E-16, 99/282 (35%)
Solyc05g007820.2.1,0.559860809,6.230556819,3.54E-05,0.002978381,SL2.40ch05,2261637,2262966,"At1g19680-like protein (Fragment) (AHRD V1 *--- Q3YI70_ARALY); contains Interpro domain(s)  IPR001841  Zinc finger, RING-type ",AT1G14180.1 ,protein binding / zinc ion binding | chr1:4847828-4848970 FORWARD, 199 bits (506),2.00E-51, 107/221 (48%)
Solyc02g085050.2.1,0.460019554,6.465258446,3.59E-05,0.002998909,SL2.40ch02,42649932,42653288,Inorganic pyrophosphatase-like protein (AHRD V1 **** Q8LA73_ARATH); contains Interpro domain(s)  IPR008162  Inorganic pyrophosphatase ,AT3G53620.1 ,AtPPa4 | AtPPa4 (Arabidopsis thaliana pyrophosphorylase 4); inorganic diphosphatase | chr3:19881491-19883308 FORWARD, 359 bits (922), e-100, 166/196 (84%)
Solyc03g098450.2.1,0.386522962,7.329438083,3.66E-05,0.003022602,SL2.40ch03,54188352,54191657,Protein Kinase interacting protein (AHRD V1 ***- B6TI58_MAIZE); contains Interpro domain(s)  IPR011684  KIP1-like ,AT1G48405.1 ,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; CONTAINS InterPro DOMAIN/s: KIP1-like (InterPro:IPR011684); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G17680.1); Has 119 Blast hits to 117 proteins in 34 species: Archae - 0; Bacteria - 22; Metazoa - 7; Fungi - 8; Plants - 57; Viruses - 0; Other Eukaryotes - 25 (source: NCBI BLink). | chr1:17884645-17885614 REVERSE, 118 bits (295),7.00E-27, 76/248 (30%)
Solyc11g066020.1.1,-0.6143139,5.088742409,3.66E-05,0.003022602,SL2.40ch11,48740653,48743035,Ankyrin repeat domain-containing protein 28 (AHRD V1 ***- B6TJ47_MAIZE); contains Interpro domain(s)  IPR002110  Ankyrin ,AT2G28840.1 ,ankyrin repeat family protein | chr2:12378542-12380474 FORWARD, 657 bits (1696),0, 315/457 (68%)
Solyc12g096790.1.1,-2.361171673,0.727523888,3.67E-05,0.003022602,SL2.40ch12,63908247,63909593,Hydroxycinnamoyl CoA quinate transferase (AHRD V1 *--- Q70G32_SOLLC); contains Interpro domain(s)  IPR003480  Transferase ,AT3G26040.1 ,transferase family protein | chr3:9519741-9521069 FORWARD, 191 bits (486),6.00E-49, 135/450 (30%)
Solyc02g088700.2.1,-0.424623843,6.779653889,3.74E-05,0.00306512,SL2.40ch02,45268178,45273518,"Mitochondrial processing peptidase beta subunit (AHRD V1 ***- Q9AXQ2_CUCME); contains Interpro domain(s)  IPR011237  Peptidase M16, core ",AT3G02090.1 ,"MPPBETA | mitochondrial processing peptidase beta subunit, putative | chr3:365624-368526 FORWARD", 785 bits (2028),0, 381/534 (71%)
Solyc02g084440.2.1,-0.555562951,6.160825992,3.78E-05,0.003083591,SL2.40ch02,42111042,42113547,"Fructose-bisphosphate aldolase (AHRD V1 ***- Q9SXX4_NICPA); contains Interpro domain(s)  IPR000741  Fructose-bisphosphate aldolase, class-I ",AT4G38970.1 ,"fructose-bisphosphate aldolase, putative | chr4:18163714-18165659 REVERSE", 714 bits (1842),0, 349/398 (87%)
Solyc04g082250.2.1,-0.466427445,6.607913292,3.91E-05,0.003174928,SL2.40ch04,63573950,63577767,"ATP-dependent zinc metalloprotease FTSH, chloroplastic (Fragment) (AHRD V1 ***- FTSH_CAPAN); contains Interpro domain(s)  IPR005936  Peptidase M41, FtsH ",AT5G42270.1 ,"VAR1, FTSH5 | VAR1 (VARIEGATED 1); ATP-dependent peptidase/ ATPase/ metallopeptidase | chr5:16902659-16905102 FORWARD", 1153 bits (2982),0, 602/705 (85%)
Solyc01g112080.2.1,-0.57478932,6.009082793,3.93E-05,0.003174928,SL2.40ch01,89951336,89953057,LysM-domain GPI-anchored protein (AHRD V1 **-- Q4VVD8_ORYSJ); contains Interpro domain(s)  IPR002482  Peptidoglycan-binding Lysin subgroup ,AT2G17120.1 ,LYM2 | LYM2 (LYSM DOMAIN GPI-ANCHORED PROTEIN 2 PRECURSOR) | chr2:7459156-7460648 FORWARD, 296 bits (757),2.00E-80, 155/318 (48%)
